brand,model,year,kilometer,fuel,engine,transmission,price
Renault,21,1991.0,3000000km,Diesel,R25,Manuelle, 34.0000 DA 
Faw, Huali,2008.0,,Essence,,Manuelle, 34.0000 DA 
Seat, Ibiza,2019.0,65000km,Essence,1.7,Manuelle, 34.0000 DA 
Audi,80,1990.0,,Essence,1.8 ess 90ch,Manuelle, 34.0000 DA 
Fiat, Uno,1994.0,444444km,Essence,60,Manuelle, 34.0000 DA 
Sym, Sym sr,2020.0,7500km,Essence,,Semi Automatique, 34.0000 DA 
Suzuki, Dzire Swift,2022.0,00km,Essence,1.3 VVT 94ch,Automatique, 34.0000 DA 
Renault, 5 Super,1986.0,111111km,Essence,76,Manuelle, 34.0000 DA 
Daewoo, Nubira,1999.0,,,,, 34.0000 DA 
Citroen, 2 cv,1971.0,,,,, 34.0000 DA 
Honda, Civic,1982.0,999999km,Essence,,Manuelle, 35.0000 DA 
Peugeot,306,1999.0,300km,Diesel,1.8 ess 16V 112ch,Manuelle, 35.0000 DA 
Faw, Faw Hiali,2007.0,,,,, 35.0000 DA 
Peugeot,305,1988.0,000km,Diesel,1.9 d,Manuelle, 35.0000 DA 
Fiat, Bravo,2000.0,18400km,Essence,1.8 ess 16V 113ch,Manuelle, 35.0000 DA 
Daewoo, Nubira,1999.0,,GPL,1.6 ess 106ch,Manuelle, 35.0000 DA 
Daewoo, Nubira coupe,1999.0,,GPL,1.6 ess 106ch,Manuelle, 35.0000 DA 
Seat, Ibiza STYLE,2019.0,170km,Essence,1.6 MPi 110 ch Automatique,Manuelle, 35.0000 DA 
Nissan, Sunny,1990.0,,Essence,1.4 ess 80ch,Manuelle, 35.0000 DA 
Volkswagen, 7 Golf Start,2017.0,123000km,,2.0 TDI 110ch,Manuelle, 35.0000 DA 
Volkswagen, Classic Jetta,1989.0,5233km,Essence,1.3 55,Manuelle, 35.0000 DA 
Peugeot,309,1990.0,,,,, 35.0000 DA 
Renault, 5 Super,1987.0,999999km,Essence,1.1 ess 47ch,Manuelle, 35.0000 DA 
Alfa,156  Romeo,2002.0,,,1.9 JTD 110ch,Manuelle, 35.0000 DA 
Fiat, Fiorino,1993.0,400000km,Essence,1.4,Manuelle, 35.0000 DA 
Ford, Fiesta Look Trend,2014.0,120000km,Essence,1.25 ess 82ch,Manuelle, 35.0000 DA 
Volkswagen, Caddy,2009.0,560km,Diesel,,Manuelle, 35.0000 DA 
Bugatti,405,1990.0,,,,, 35.0000 DA 
Renault,12  Toros,1989.0,,,,, 35.0000 DA 
Peugeot,309,1993.0,333333km,Diesel,1.9 D 65ch,Manuelle, 35.0000 DA 
Peugeot,404,1985.0,111111km,Essence,10,Manuelle, 35.0000 DA 
Volkswagen, Gol,2004.0,,GPL,1.6 ess,Manuelle, 35.0000 DA 
Peugeot,305,1984.0,,GPL,1.3 ess 65ch,Manuelle, 35.0000 DA 
Fiat, Panda,1996.0,,Essence,0.9 ess 40ch,Manuelle, 35.0000 DA 
Volkswagen, 2 Golf,1988.0,2222222222km,Essence,1.3 ess 55ch,Manuelle, 35.0000 DA 
Renault,4,1984.0,000000km,Essence,1.1 ess 34ch,Manuelle, 35.0000 DA 
Suzuki, Jimny,2008.0,100km,Essence,1.3 VVT 85ch,Semi Automatique, 35.0000 DA 
Citroen,15  C,1998.0,,Essence,La 8,Manuelle, 35.0000 DA 
Hyundai, Accent,2008.0,100000km,Essence,1.5,Manuelle, 35.0000 DA 
Hafei, Yavuz motors,2004.0,300000km,Essence,1.1 ess 65 ch,Manuelle, 35.0000 DA 
Fiat, Panda,1999.0,30000km,Essence,0.9 ess 40ch,Manuelle, 35.0000 DA 
Opel, Corsa,2000.0,3000000km,Diesel,1.7 D 60ch,Manuelle, 35.0000 DA 
Fiat,,2023.0,1500km,Essence,,Automatique, 35.0000 DA 
Skoda, Fabia Style,2019.0,108000km,Essence,1.6 MPI 90ch,Manuelle, 35.0000 DA 
Renault,4,1981.0,00km,,,Manuelle, 35.0000 DA 
Hafei, Yavuz motors,2004.0,250000km,Essence,Dfm,Manuelle, 35.0000 DA 
