brand,model,year,kilometer,engine,transmission,fuel,nb_of_doors,price
Toyota,Land Cruiser AWD,2010,"143,432",381 hp 5.7L V8,6-Speed Automatic,Gasoline,4 doors,"$28,900"
Toyota,RAV4 LE FWD,2020,"70,253",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$20,495"
Toyota,4Runner SR5 Premium 4WD,2021,"41,912",270 hp 4L V6,Automatic,Gasoline,4 doors,"$34,999"
Toyota,Camry SE FWD,2021,"76,912",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$18,996"
Toyota,Highlander XLE AWD,2022,"25,318",295 hp 3.5L V6,8-Speed Automatic,Gasoline,4 doors,"$37,975"
Toyota,Highlander L FWD,2021,"22,481",295 hp 3.5L V6,Automatic,Gasoline,4 doors,"$26,567"
Toyota,Tacoma TRD Sport Double Cab 4WD,2022,"9,386",278 hp 3.5L V6,Manual,Black,4 doors,"$39,999"
Toyota,Tacoma PreRunner Access Cab SB,2013,"150,291",159 hp 2.7L I4,4-Speed Automatic Overdrive,Gasoline,4 doors,"$15,995"
Toyota,RAV4 LE AWD,2023,"15,520",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$27,844"
Toyota,4Runner SR5 4WD,2023,"21,552",270 hp 4L V6,Automatic,Gasoline,4 doors,"$33,995"
Toyota,Highlander L AWD,2020,"50,589",295 hp 3.5L V6,8-Speed Automatic,Gasoline,4 doors,"$24,941"
Toyota,Corolla LE FWD,2020,"31,732",1.8L I4,Continuously Variable Transmission,Gasoline,4 doors,"$15,326"
Toyota,Tundra Limited CrewMax 5.7L 4WD,2010,"98,513",381 hp 5.7L V8,Automatic,Gasoline,4 doors,"$18,999"
Toyota,Corolla LE FWD,2023,"13,741",2L I4,Continuously Variable Transmission,Gasoline,4 doors,"$21,983"
Toyota,Sequoia SR5 4WD,2013,"170,568",381 hp 5.7L V8,6-Speed Automatic,Gasoline,4 doors,"$13,995"
Toyota,4Runner Limited 4WD,2013,"141,352",270 hp 4L V6,5-Speed Automatic,Gasoline,4 doors,"$19,497"
Toyota,Highlander Limited V6 AWD,2007,"198,474",215 hp 3.3L V6,Automatic,Gasoline,4 doors,"$4,950"
Toyota,4Runner TRD Off-Road Premium 4WD,2022,"32,026",270 hp 4L V6,5-Speed Automatic,Gasoline,4 doors,"$38,950"
Toyota,Prius v Three FWD,2012,"124,172",134 hp 1.8L I4 Hybrid,Continuously Variable Transmission,Hybrid,4 doors,"$10,999"
Toyota,RAV4 XLE AWD,2016,"110,041",176 hp 2.5L I4,6-Speed Automatic,Gasoline,4 doors,"$14,999"
Toyota,bZ4X XLE AWD,2023,"9,612",Electric,1-Speed Automatic,Electric,4 doors,"$30,000"
Toyota,Corolla SE,2018,"92,858",132 hp 1.8L I4,Automatic,Gasoline,4 doors,"$14,250"
Toyota,Camry LE V6,2007,"191,671",268 hp 3.5L V6,Automatic,Gasoline,4 doors,"$4,299"
Toyota,Camry LE FWD,2021,"99,619",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$17,491"
Toyota,RAV4 LE FWD,2023,"13,333",2.5L I4,Automatic,Gasoline,4 doors,"$26,639"
Toyota,RAV4 XLE Premium AWD,2023,"17,285",2.5L I4,8-Speed Automatic Overdrive,Gasoline,4 doors,"$32,861"
Toyota,RAV4 Hybrid XLE AWD,2020,"13,667",2.5L I4 Hybrid,Continuously Variable Transmission,Hybrid,4 doors,"$30,637"
Toyota,RAV4 LE AWD,2020,"59,479",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$24,658"
Toyota,Tacoma V6 4dr Double Cab 4WD LB,2006,"201,695",236 hp 4L V6,5-Speed Automatic,Gasoline,4 doors,"$4,400"
Toyota,Tacoma Access Cab V6 4WD,2011,"98,977",236 hp 4L V6,5-Speed Automatic Overdrive,Gasoline,4 doors,"$16,995"
Toyota,Camry LE FWD,2023,"17,102",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$22,726"
Toyota,Tacoma,2021,"65,831",159 hp 2.7L I4,Automatic,Gasoline,4 doors,"$24,977"
